Value,Timestamp,MetricId,Unit,Description,Entity,IntervalSecs
113,12/13/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
191,12/12/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
108,12/11/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
69,12/10/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
64,12/9/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
82,12/8/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
92,12/7/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
89,12/6/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
79,12/5/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
126,12/4/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
64,12/3/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
57,12/2/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
97,12/1/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
115,11/30/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
103,11/29/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
109,11/28/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
81,11/27/16 18:00,disk.usage.average,KBps,"Aggregated disk I/O rate. For hosts, this metric includes the rates for all virtual machines running on the host during the collection interval.",php5_server,86400
